Canonical Reference Song Index
=======================================
english | #1 | Spirit of the Living God | F | normalized= spirit of the living god
english | #204 | Whatafriendwehavein Jesus | G | normalized= whatafriendwehavein jesus
english | #205 | IAMBOUNDFORTHEPROMISEDLANDG205 | G | normalized= iamboundforthepromisedlandg205
english | #209 | My Hopeisbuiltonnothingless | G | normalized= my hopeisbuiltonnothingless
english | #214 | Takethenameof Jesuswithyou | G | normalized= takethenameof jesuswithyou
english | #215 | WHATAGATHERING | A | normalized= whatagathering
english | #218 | The Original Life | A | normalized= the original life
english | #219 | JESUSYOURETHESWEETESTNAME | F | normalized= jesusyourethesweetestname
english | #220 | Blessthe Lord Omysoulworship Hisholyname | F | normalized= blessthe lord omysoulworship hisholyname
english | #222 | Letthedewof Heaven Fall | G | normalized= letthedewof heaven fall
english | #223 | Jesusisthe Joyofliving | C | normalized= jesusisthe joyofliving
english | #228 | Thouartworthy | A | normalized= thouartworthy
english | #230 | Into My Heart | F | normalized= into my heart
english | #234 | Heishere Heismovingamongus | D | normalized= heishere heismovingamongus
english | #235 | Thoudostseekabrideallpureandholy | F | normalized= thoudostseekabrideallpureandholy
english | #238 | Iwillsing Iwillsingasonguntothe Lord | D | normalized= iwillsing iwillsingasonguntothe lord
english | #241 | INTHESEDAYSOFTRIALSSOJUSTBEFAITHFUL | F | normalized= inthesedaysoftrialssojustbefaithful
english | #242 | Gm The Lordsmy Shepherd | F | normalized= gm the lordsmy shepherd
english | #249 | Ohwhatagiftwhatawonderfulgift | D | normalized= ohwhatagiftwhatawonderfulgift
english | #249 | TOGODBETHEGLORY | G | normalized= togodbetheglory
english | #253 | ITONLYTAKESASPARK | D | normalized= itonlytakesaspark
english | #254 | Iwillgivethanksto Thee O Lord | C | normalized= iwillgivethanksto thee o lord
english | #255 | Making Melodyinmyheart | F | normalized= making melodyinmyheart
english | #257 | Letthe Lordhave His Way | G | normalized= letthe lordhave his way
english | #258 | Oh This Is Like Heaven To Me | E | normalized= oh this is like heaven to me
english | #268 | Fillmycup Lord |  | normalized= fillmycup lord
english | #269 | GREATANDMIGHTY | G | normalized= greatandmighty
english | #271 | In Histime | F | normalized= in histime
english | #274 | IDRATHERHAVEJESU Sthananythinginthisworld | D | normalized= idratherhavejesu sthananythinginthisworld
english | #275 | Heis Jehovah Godofcreation | G | normalized= heis jehovah godofcreation
english | #277 | Jesuspaidit All Ihearthesavioursay | D | normalized= jesuspaidit all ihearthesavioursay
english | #281 | HOLYHOLYLORDGODALMIGHTY | C | normalized= holyholylordgodalmighty
english | #282 | ALLFORJESUS | F | normalized= allforjesus
english | #285 | WHENTHESPIRITOFTHELORD | G | normalized= whenthespiritofthelord
english | #289 | Isnt Hewonderful | A | normalized= isnt hewonderful
english | #292 | IFEELTHEPULL | A | normalized= ifeelthepull
english | #308 | Youarebeautifulbeyonddescription | A | normalized= youarebeautifulbeyonddescription
english | #311 | Hosanna Hosanna | G | normalized= hosanna hosanna
english | #312 | God Saidsetmypeoplefree Yes Godisgood | G | normalized= god saidsetmypeoplefree yes godisgood
english | #314 | GODISGOODALLTHETIME | D | normalized= godisgoodallthetime
english | #321 | MORELOVEMOREPOWER Am | A | normalized= morelovemorepower am
english | #323 | Sometrustinchariots | D | normalized= sometrustinchariots
english | #324 | Taketimetobe Holy | F | normalized= taketimetobe holy
english | #326 | Hosannablessedbethename | C | normalized= hosannablessedbethename
english | #328 | Ive Believedthe True Report | G | normalized= ive believedthe true report
english | #329 | WHATWENEEDTHEPILLAROFFIRE | G | normalized= whatweneedthepillaroffire
english | #330 | Thankyou Lord Icomebeforeyoutoday | F | normalized= thankyou lord icomebeforeyoutoday
english | #338 | HOLYSPIRITTHOUAREWELCOME | A | normalized= holyspiritthouarewelcome
english | #341 | LETSGOUPTOZION | G | normalized= letsgouptozion
english | #342 | THESEARETHEDAYSOFELIJAH | C | normalized= thesearethedaysofelijah
english | #353 | ASWEGATHERINTHISPLACETODAY | F | normalized= aswegatherinthisplacetoday
english | #356 | Youaremyrefuge Iwillworshipyou | E | normalized= youaremyrefuge iwillworshipyou
