Language,Song Number,Original Title,Normalized Title,Reference Key
hindi,183,Tanmanaurdhanuskodo,tanmanaurdhanuskodo,C
hindi,186,Hojaijaikar,hojaijaikar,F
hindi,190,Yeshu Teranaamhaikitnasunder,yeshu teranaamhaikitnasunder,E
hindi,192,Wo Jivitjivitjivithaisadaa,wo jivitjivitjivithaisadaa,F
hindi,201,Yeshuteranaammerasharansthan,yeshuteranaammerasharansthan,G
hindi,204,Lechalmeriaatmakotu,lechalmeriaatmakotu,B
hindi,206,Anandhai Adbhootanandhai,anandhai adbhootanandhai,D
hindi,207,Mere Jeevanka Maqsad Tuhai,mere jeevanka maqsad tuhai,G
hindi,208,Yeshu Masih Tere Jaisahai Koi Nahi,yeshu masih tere jaisahai koi nahi,G
hindi,209,Stuti Aradhana Uppar Jaatihai,stuti aradhana uppar jaatihai,G
hindi,210,Manto Prabhukamandirhai,manto prabhukamandirhai,D
hindi,212,Aradhanah Oaradhanakhudavantyeshukiaradhana,aradhanah oaradhanakhudavantyeshukiaradhana,F
hindi,213,Duniyabananewaleterijaih O,duniyabananewaleterijaih o,F
hindi,216,Mahimah O Teri Kartehaiterihum Stuti,mahimah o teri kartehaiterihum stuti,D
hindi,218,Aimereman Yehovahkodhanyadhanyakaho,aimereman yehovahkodhanyadhanyakaho,C
hindi,220,Yeshu Kabhina Chhodega,yeshu kabhina chhodega,G
hindi,224,Vandana Kartehaihum,vandana kartehaihum,G
hindi,225,Prabhu Parmeshwar Tukitnabhalahai,prabhu parmeshwar tukitnabhalahai,G
hindi,226,Ho Teri Stutiaur Aaradhana,ho teri stutiaur aaradhana,A
hindi,228,Utaraautaraa Aasmani Khushisebhardemujko Roti,utaraautaraa aasmani khushisebhardemujko roti,E
hindi,229,Phirsewohaagbarsade,phirsewohaagbarsade,F
hindi,230,Prarthanamejokuchhmaangapurakaroaramaan,prarthanamejokuchhmaangapurakaroaramaan,A
hindi,2001,Aasmanbhitaljayegaa,aasmanbhitaljayegaa,D
hindi,2002,Kya De Saktahu Shukriya,kya de saktahu shukriya,F
hindi,2003,Dhanyawaadkesaathstutigaunga,dhanyawaadkesaathstutigaunga,D
hindi,2004,Aradhana Meyhai Chuttkara,aradhana meyhai chuttkara,C
hindi,2005,Hallelujah2Humgaatebarambar,hallelujah2humgaatebarambar,F
hindi,2005,Hey Swargiyapita Aradhana,hey swargiyapita aradhana,F
hindi,2007,Yeshunaam Mila Mera Jeevan Savargaya,yeshunaam mila mera jeevan savargaya,F
hindi,2008,Dhanya Dhanya Yeshunaam,dhanya dhanya yeshunaam,A
hindi,2009,Teri Stuti Mai Karu Aradhana Karu Dilse,teri stuti mai karu aradhana karu dilse,D
